label,body_part,mean,sum,count
POLISI SANA PUKUL PENCURI,GP,0.08610852114167782,1980.4959862585897,23000
POLISI SANA PUKUL PENCURI,GR,0.17633166952351984,2318.0561275561918,13146
RUMAH DIMANA KAMU,GL,0.2097511800722915,647.5018928831638,3087
RUMAH DIMANA KAMU,GM,0.05674198766373712,792.4018577240889,13965
RUMAH DIMANA KAMU,GP,0.14215408207635205,2612.081258152969,18375
RUMAH DIMANA KAMU,GR,0.2078371240629046,2173.5606434498563,10458
SANA BERITA SUDAH BANYAK RIBUAN ORANG LIHAT,GL,0.3393197388486804,3178.0686740567407,9366
SANA BERITA SUDAH BANYAK RIBUAN ORANG LIHAT,GM,0.046110900622596644,1345.7005237698604,29184
SANA BERITA SUDAH BANYAK RIBUAN ORANG LIHAT,GP,0.14169267669490423,5455.168052753813,38500
SANA BERITA SUDAH BANYAK RIBUAN ORANG LIHAT,GR,0.22027384909938771,4662.756837735839,21168
SANA ENAK NASI PADANG TAPI MAHAL,GL,0.2550796071621711,2544.4190814426565,9975
SANA ENAK NASI PADANG TAPI MAHAL,GM,0.03610420950492414,938.4206134519883,25992
SANA ENAK NASI PADANG TAPI MAHAL,GP,0.12720137581854257,4363.0071905760105,34300
SANA ENAK NASI PADANG TAPI MAHAL,GR,0.19689336109632893,4676.414219398908,23751
SANA TOILET KOTOR,GL,0.11431793927446982,120.0338362381933,1050
SANA TOILET KOTOR,GM,0.044146784488034115,633.2856234808494,14345
SANA TOILET KOTOR,GP,0.10378738728853648,1958.986935071126,18875
SANA TOILET KOTOR,GR,0.1768437433867619,1986.83945695027,11235
SEPATU DIA KOTOR,GL,0.26858208666687183,389.17544358029727,1449
SEPATU DIA KOTOR,GM,0.06686422887783659,965.5194649959604,14440
SEPATU DIA KOTOR,GP,0.13380566387172146,2542.307613562708,19000
SEPATU DIA KOTOR,GR,0.2033628977368218,2190.8284973187815,10773
TONG SAMPAH ADA SEMUT BANYAK,GL,0.3157631978753759,2221.3940970532694,7035
TONG SAMPAH ADA SEMUT BANYAK,GM,0.04704985364725702,947.5840524557564,20140
TONG SAMPAH ADA SEMUT BANYAK,GP,0.13985204845880259,3706.0792841582684,26500
TONG SAMPAH ADA SEMUT BANYAK,GR,0.21764889802323825,3158.30315921521,14511
ULANG TAHUN SELAMAT,GL,0.18781080859616936,1475.0660907143142,7854
ULANG TAHUN SELAMAT,GM,0.04363482537366935,596.9244111117966,13680
ULANG TAHUN SELAMAT,GP,0.12300172837856824,2214.031110814228,18000
ULANG TAHUN SELAMAT,GR,0.1680132857415133,1623.0083402630185,9660
ULAR SANA MAKAN KAMBING,GL,0.281444619388581,1459.8532407685698,5187
ULAR SANA MAKAN KAMBING,GM,0.04133329397436412,738.2126303821432,17860
ULAR SANA MAKAN KAMBING,GP,0.1423912817008367,3346.1951199696623,23500
ULAR SANA MAKAN KAMBING,GR,0.22366068365252148,3137.512070277571,14028
