body_part,mean,sum,count,ratio,rank,normalized_sum,normalized_ratio
GL,0.2230376607877757,39001.926628975976,174867,0.14151407569732544,1.0,1857.2346013798083,0.14989278734702569
GR,0.21302332993586287,87841.44823903267,412356,0.3187227511531664,2.0,4182.926106620604,0.3375935667589812
GP,0.1441435972583136,117109.46559251689,812450,0.4249184389373303,3.0,4684.378623700675,0.3780645527353742
GM,0.051286273717198703,31651.734114758918,617158,0.11484473421217795,4.0,1665.8807428820483,0.13444909315861878
